0	765
1	6652
2	5986
3	4750
4	3605
5	2805
6	2919
7	2988
8	1916
9	963
10	467
11	315
12	458
13	444
14	534
15	455
16	540
17	659
18	479
19	523
20	552
21	614
22	451
23	455
24	610
25	407
26	27
27	17
28	26
29	19
30	35
31	26
32	21
33	19
34	31
35	27
36	16
37	5
38	10
39	2
40	14
41	15
42	3
43	4
44	10
45	18
46	22
47	28
48	29
49	24
50	22
51	13
52	5
53	7
54	10
55	10
56	7
57	13
58	16
59	16
60	14
61	14
62	5
63	10
64	15
65	7
66	6
67	13
68	15
69	16
70	31
71	22
72	30
73	17
74	16
75	9
76	15
77	11
78	6
79	20
80	6
81	10
82	23
83	18
84	13
85	18
86	12
87	15
88	16
89	16
90	9
91	9
92	21
93	14
94	28
95	13
96	18
97	23
98	23
99	11
100	21
101	33
102	28
103	20
104	21
105	16
106	16
107	28
108	21
109	23
110	9
111	26
112	33
113	20
114	18
115	30
116	30
117	20
118	20
119	27
120	24
121	24
122	24
123	31
124	21
125	17
126	23
127	40
128	28
129	32
130	26
131	26
132	43
133	41
134	33
135	40
136	38
137	31
138	34
139	25
140	31
141	24
142	39
143	33
144	37
145	34
146	33
147	47
148	39
149	23
150	35
151	41
152	32
153	42
154	44
155	32
156	30
157	47
158	47
159	63
160	34
161	31
162	27
163	37
164	45
165	43
166	40
167	46
168	52
169	38
170	33
171	39
172	40
173	39
174	43
175	51
176	48
177	36
178	41
179	32
180	52
181	56
182	45
183	44
184	57
185	57
186	58
187	34
188	38
189	46
190	47
191	39
192	34
193	37
194	41
195	64
196	61
197	59
198	49
199	40
200	44
201	50
202	55
203	64
204	42
205	38
206	50
207	51
208	60
209	69
210	50
211	53
212	52
213	57
214	68
215	59
216	55
217	61
218	65
219	58
220	65
221	49
222	40
223	46
224	50
225	47
226	51
227	45
228	53
229	61
230	64
231	56
232	50
233	62
234	68
235	40
236	58
237	66
238	78
239	63
240	71
241	65
242	63
243	96
244	57
245	76
246	59
247	55
248	70
249	80
250	66
251	53
252	77
253	75
254	53
255	64
256	71
257	64
258	64
259	51
260	59
261	68
262	77
263	60
264	69
265	62
266	61
267	58
268	74
269	69
270	58
271	39
272	45
273	48
274	59
275	57
276	54
277	56
278	69
279	55
280	66
281	63
282	62
283	45
284	59
285	46
286	47
287	58
288	59
289	74
290	60
291	53
292	62
293	63
294	72
295	52
296	62
297	53
298	53
299	62
300	59
301	58
302	64
303	64
304	76
305	50
306	56
307	65
308	59
309	76
310	70
311	65
312	88
313	54
314	82
315	62
316	71
317	66
318	87
319	62
320	77
321	67
322	68
323	69
324	88
325	68
326	69
327	81
328	74
329	95
330	76
331	91
332	90
333	76
334	89
335	84
336	82
337	67
338	78
339	82
340	75
341	79
342	85
343	78
344	71
345	49
346	82
347	77
348	70
349	77
350	90
351	96
352	81
353	74
354	76
355	90
356	86
357	77
358	71
359	73
360	91
361	67
362	78
363	68
364	81
365	72
366	79
367	93
368	75
369	61
370	65
371	109
372	101
373	111
374	88
375	74
376	68
377	83
378	86
379	93
380	88
381	85
382	73
383	76
384	61
385	77
386	78
387	77
388	87
389	81
390	78
391	90
392	86
393	74
394	64
395	88
396	77
397	79
398	86
399	95
400	83
401	86
402	67
403	77
404	74
405	92
406	89
407	77
408	96
409	87
410	89
411	81
412	88
413	89
414	64
415	81
416	82
417	75
418	71
419	95
420	104
421	85
422	79
423	76
424	82
425	97
426	78
427	51
428	66
429	64
430	65
431	75
432	81
433	72
434	64
435	64
436	89
437	78
438	66
439	76
440	79
441	81
442	79
443	82
444	73
445	68
446	67
447	62
448	73
449	73
450	76
451	74
452	60
453	71
454	72
455	77
456	66
457	55
458	88
459	76
460	76
461	65
462	73
463	76
464	59
465	60
466	96
467	62
468	67
469	79
470	66
471	81
472	60
473	74
474	61
475	63
476	58
477	63
478	49
479	51
480	67
481	84
482	59
483	60
484	71
485	69
486	61
487	73
488	48
489	60
490	66
491	56
492	60
493	60
494	54
495	64
496	64
497	65
498	49
499	59
500	60
501	63
502	52
503	68
504	59
505	55
506	60
507	54
508	34
509	51
510	61
511	53
512	47
513	50
514	57
515	61
516	52
517	33
518	50
519	54
520	50
521	54
522	44
523	50
524	40
525	46
526	40
527	43
528	41
529	28
530	36
531	51
532	38
533	35
534	51
535	39
536	36
537	36
538	34
539	42
540	31
541	32
542	41
543	31
544	27
545	36
546	29
547	32
548	35
549	34
550	38
551	30
552	30
553	37
554	25
555	24
556	34
557	41
558	34
559	37
560	30
561	21
562	42
563	25
564	23
565	25
566	34
567	23
568	25
569	36
570	23
571	24
572	33
573	32
574	21
575	26
576	33
577	18
578	40
579	30
580	26
581	35
582	38
583	27
584	25
585	25
586	21
587	28
588	25
589	23
590	25
591	28
592	28
593	30
594	23
595	27
596	25
597	20
598	23
599	24
600	19
601	17
